Russian,English,Russian sentence,English sentence
не,not,Я не знаю.,(I don't know.)
на,"on, at, to",Вилка лежит на столе.,(A fork is on the table.)
я,I,Я студент.,(I'm a student.)
что,"what, that",Что вы делали?,(What were you doing?)
быть,"to be, there is, there are",Я хочу быть с тобой.,(I want to be with you.)
с,"with, from",Рад познакомиться с вами.,(I'm glad to meet [with] you.)
он,"he, it",Где он? Он на работе.,(Where's he? He's at work.)
а,"and, but","Это Тим, а это его жена.","(This is Tim, and that is his wife.)"
как,"how, as, like",Как вас зовут?,(What is your name? / How are you called?)
э́то,"this is, that is",Это компьютер.,(This is a computer.)
по,"along, around, according to",Она говорит по телефону.,(She's talking on the phone.)
э́тот,this,"Пожалуйста, заполните э́тот бланк.","(Please, fill in this form.)"
к,"to, towards",Автобус подъехал к ресторану.,(The bus drove up to the restaurant.)
но,but,"Извини, но мне надо идти.","(I'm sorry, but I have to go.)"
они́,they,Они наши друзья.,(They are our friends.)
мы,we,Мы друзья.,(We are friends.)
весь,"all, whole",Весь день идёт дождь.,(It's been raining all day.)
у,"by, at",Машина стоит у окна.,(The car is parked by the window.)
кото́рый,which,Который час?,(What time is it? / [Which hour?])
из,"from, out of",Мы из России.,(We're from Russia.)
она́,she,Она в театре.,(She's in the theater.)
за,"for, behind",Спасибо за приглашение.,(Thank you for the invitation.)
от,from,От меня́ к тебе́.,(From me to you.)
о,about,Он думает о тебе.,(He's thinking about you.)
так,so,,
свой,one's own,,
для,for,,
же,"and, as for, but, (a particle used for emphasis)",,
год,year,,
вы,you (plural or polite),,
ты,"you (single, familiar)",,
мочь,"can, to be able to",,
челове́к,"person, human",,
тако́й,such,,
все,all,,
его́,his,,
то́лько,only,,
ещё,"yet, still, more",,
и́ли,or,,
бы,would,,
сказа́ть,"to say, speak",,
себя́,oneself,,
её,her,,
е́сли,if,,
уже́,already,,
до,"till, until",,
когда́,when,,
вре́мя,time,,
вот,"here, there",,
то,that,,
друго́й,"other, another, different",,
говори́ть,to talk,,
наш,our,,
да,yes,,
са́мый,themost,,
мой,"my, mine",,
при,"at, in, by",,
нет,"not, no",,
что́бы,"that, than, in order that, so",,
кто,who,,
да́же,even,,
де́ло,"business, affair",,
ни,"no, not, not a",,
жизнь,life,,
стать,to become,,
пе́рвый,first,,
о́чень,very,,
два,two,,
сам,"oneself, myself, himself, herself, alone",,
там,there,,
раз,"time, occasion, bout, once",,
но́вый,new,,
ну,well,,
мо́жно,"one can, one may, it's possible",,
день,day,,
рука́,"hand, arm",,
со,with (a different spelling of 'c'),,
како́й,which,,
их,"their, theirs",,
под,"under, below",,
мно́го,many,,
,,,
ли,"if, whether",,
чем,than,,
по́сле,after,,
рабо́та,"work, job, labor",,
на́до,"must, it's necessary",,
хоте́ть,to want,,
хоро́ший,"good, nice, fine",,
без,without,,
сейча́с,now,,
сло́во,a word,,
до́лжный,"due, owing, proper, just, indebted",,
пото́м,"after, afterwards",,
име́ть,"to have, own",,
ме́сто,a place,,
вопро́с,a question,,
ничто́,nothing,,
то́же,"also, too",,
лицо́,a face,,
